anio,sexo,promedio_hs_diarias,nivel_instruccion
2016,TOTAL,2:49,TOTAL
2016,TOTAL,3:07  ,Hasta secundario incompleto
2016,TOTAL,2:46  ,Secundario completo y superior (terciario o universitario) incompleto
2016,TOTAL,2:39  ,Superior (terciario o universitario) completo y más
2016,m,3:27,TOTAL
2016,m,4:13  ,Hasta secundario incompleto
2016,m,3:26  ,Secundario completo y superior (terciario o universitario) incompleto
2016,m,3:05  ,Superior (terciario o universitario) completo y más
2016,v,1:57,TOTAL
2016,v,2:06  ,Hasta secundario incompleto
2016,v,1:57  ,Secundario completo y superior (terciario o universitario) incompleto
2016,v,1:49  ,Superior (terciario o universitario) completo y más
